ra,dec
336.8303,40.0989
337.6542,-39.0618
337.611,-39.3136
337.3658,-39.1949
337.4604,-39.6698
337.6711,-39.7169
337.6638,-39.1243
337.5924,-39.1259
337.6028,-39.0218
337.4629,-39.2524
336.814,17.1131
336.5589,17.1724
336.8592,17.0522
336.4758,17.1637
336.6841,17.3644
336.9212,17.2141
336.4654,17.1759
336.3461,17.2791
336.6936,17.2253
336.3603,17.1912
338.0446,-8.107
338.1296,-8.0545
338.4123,13.2127
338.2561,13.6
336.5084,-15.3028
338.325,70.3755
338.4434,70.5547
336.6743,78.786
338.133,-54.5861
337.5648,-54.8264
337.2176,53.8678
337.3458,53.8297
337.123,53.7375
336.9982,53.8214
337.8291,54.1601
338.0545,54.134
336.1826,32.6134
336.0676,32.5079
336.2925,32.5415
336.104,-58.4369
336.2148,-58.4259
336.0056,-58.3788
336.4656,-58.7585
336.3733,-58.8619
337.0193,-58.7242
336.3738,-58.6031
336.2101,-58.1893
336.2761,-57.9651
337.7581,-31.0239
337.974,-30.4545
337.978,-30.4605
338.4121,-49.7521
336.9914,78.4268
336.6308,78.3212
336.8734,38.3751
336.406,38.8255
336.8732,38.7875
338.1531,11.7308
338.205,-20.3737
336.2702,-13.9985
338.4823,24.7056
337.9787,11.8739
338.0832,12.2384
336.7755,12.9661
337.5839,16.5193
187.3498,66.896
186.7425,67.2736
187.0285,67.1475
186.1613,-64.2294
186.1711,-64.3157
186.4774,-64.4333
187.6987,-63.9007
186.2043,-64.6196
186.4374,-64.0226
186.7211,-64.3589
187.5733,-63.9398
187.1623,-64.1918
187.2796,2.0508
187.4065,2.0578
187.2476,2.1773
187.393,1.9693
187.3101,2.1896
187.1367,2.0545
187.3968,1.9476
187.1564,1.9544
187.2614,1.878
187.4248,2.147
187.3145,1.8781
187.4289,1.9221
187.3828,1.8779
187.1203,1.9114
187.4739,2.1354
187.4492,1.8995
187.2684,1.8146
187.4586,2.2071
187.3669,1.8263
187.5238,2.0904
187.1451,1.8396
187.033,2.1083
187.4951,2.19
